freelancer_id,category,primary_skills,years_experience,experience_level,region,country,education,hourly_rate_usd,annual_income_usd,primary_platform
FL0017,Cybersecurity,"Penetration Testing, Network Security, Security Audit",7.7,senior,Latin America,Argentina,Bachelor,84.89,"$76,787.41",Upwork
FL0018,Data Engineering,"SQL, Data Warehousing, BigQuery",8.8,senior,Middle East,Israel,Master,142.12,"$121,520.68",Other
FL0019,Web Development,"Node.js, HTML/CSS, React",3.2,mid,Asia Pacific,Philippines,Bachelor,26.89,"$24,810.05",Freelancer
FL0020,DevOps,"AWS, Azure, Kubernetes",5.5,senior,Western Europe,Germany,Bachelor,191.55,"$158,111.41",Upwork
FL0021,Cybersecurity,"Cryptography, Network Security, Penetration Testing",5.3,senior,North America,US,Bootcamp,237.95,"$193,798.71",Direct Client
FL0022,Mobile Development,"Kotlin, Flutter, React Native",4.6,mid,Asia Pacific,India,Bachelor,29.67,"$30,355.44",Fiverr
FL0023,Blockchain,"Ethereum, Smart Contracts, Solidity",5.1,senior,Middle East,UAE,Bachelor,134.35,"$142,705.39",Fiverr
FL0024,Data Engineering,"Python, BigQuery, SQL",5.4,senior,Latin America,Brazil,Master,75.1,"$70,563.56",Upwork
FL0025,AI/ML Engineering,"Python, Data Science, PyTorch",10,senior,Africa,Nigeria,Master,64.64,"$69,223.84",LinkedIn
FL0026,AI/ML Engineering,"Python, NLP, Data Science",3.9,mid,Latin America,Argentina,Bachelor,86,"$84,578.99",Toptal
FL0027,Cybersecurity,"Network Security, Cryptography, Penetration Testing",6.1,senior,Africa,Nigeria,Bachelor,63.95,"$52,208.80",Upwork
FL0028,Cybersecurity,"Cryptography, Penetration Testing, Network Security",10,senior,Western Europe,Germany,Self-taught,179.35,"$166,325.21",Direct Client
FL0029,Blockchain,"Smart Contracts, Ethereum, Web3",2.5,mid,Africa,South Africa,Bachelor,54.31,"$50,249.54",Fiverr
FL0030,Cybersecurity,"Penetration Testing, Cryptography, Network Security",4.3,mid,Middle East,Israel,Self-taught,115.95,"$95,799.37",Freelancer
FL0031,Cybersecurity,"Security Audit, Network Security, Cryptography",6.1,senior,Western Europe,UK,Self-taught,244.75,"$200,982.24",Freelancer
FL0032,UI/UX Design,"User Research, Figma, Wireframing",3,mid,Western Europe,UK,Self-taught,79.23,"$78,886.63",Upwork
FL0033,Web Development,"Node.js, HTML/CSS, Angular",3.5,mid,Western Europe,Germany,Master,93.99,"$100,649.28",Toptal
FL0034,Web Development,"Vue.js, HTML/CSS, Node.js",6.6,senior,Eastern Europe,Romania,Bootcamp,86.7,"$93,381.02",Direct Client
FL0035,Web Development,"React, Vue.js, JavaScript",3.4,mid,Asia Pacific,Philippines,Master,29.19,"$27,262.87",Direct Client
FL0036,Mobile Development,"Android, Kotlin, React Native",0.9,junior,Western Europe,Germany,Bachelor,67.97,"$65,642.12",Direct Client
FL0037,Blockchain,"Web3, Ethereum, DeFi",6.5,senior,Western Europe,France,Bachelor,192.04,"$160,890.82",Fiverr
FL0038,DevOps,"AWS, Azure, CI/CD",5.8,senior,Eastern Europe,Poland,Bachelor,103.66,"$101,706.57",Direct Client
FL0039,Cybersecurity,"Penetration Testing, Network Security, Cryptography",4.7,mid,Middle East,Israel,Self-taught,111.4,"$94,072.63",Freelancer
FL0040,Full Stack,"React, MongoDB, REST API",2.4,mid,Africa,South Africa,Bachelor,41.09,"$43,624.88",Upwork
FL0041,Blockchain,"DeFi, Solidity, Smart Contracts",10.9,senior,Africa,Nigeria,Self-taught,67.4,"$64,305.59",Freelancer
FL0042,AI/ML Engineering,"NLP, Data Science, Python",7.2,senior,Middle East,UAE,PhD,194.4,"$196,095.44",Fiverr
FL0043,Mobile Development,"Kotlin, Flutter, React Native",5,mid,Middle East,Israel,Bachelor,93.77,"$83,278.46",Toptal
FL0044,Mobile Development,"Flutter, iOS, React Native",8.3,senior,Africa,South Africa,Bachelor,62.08,"$58,275.24",Direct Client
FL0045,Data Engineering,"Data Warehousing, BigQuery, ETL",6.9,senior,Middle East,Israel,PhD,118.98,"$111,569.19",Freelancer
FL0046,Blockchain,"Smart Contracts, DeFi, Ethereum",7.4,senior,Middle East,Israel,Bachelor,167.73,"$168,806.32",Fiverr
FL0047,Web Development,"HTML/CSS, React, Node.js",3.6,mid,Africa,South Africa,Self-taught,38.45,"$37,375.91",LinkedIn
FL0048,UI/UX Design,"User Research, Wireframing, Prototyping",11.1,senior,Middle East,UAE,Bachelor,111.81,"$109,536.38",Freelancer
FL0049,Cybersecurity,"Security Audit, Cryptography, Network Security",4.8,mid,Asia Pacific,Japan,Bachelor,122.76,"$103,373.13",Direct Client
FL0050,Mobile Development,"React Native, Flutter, Kotlin",4.7,mid,Africa,South Africa,Bootcamp,43.96,"$45,476.43",Upwork
FL0051,UI/UX Design,"Figma, Adobe XD, Sketch",1.9,junior,Eastern Europe,Romania,Master,27.83,"$22,434.50",Direct Client
FL0052,Blockchain,"Web3, Solidity, Ethereum",8.5,senior,Eastern Europe,Ukraine,Master,102.41,"$87,309.60",LinkedIn
FL0053,Mobile Development,"React Native, iOS, Flutter",3.3,mid,Western Europe,Germany,Bachelor,94.2,"$77,722.96",Direct Client
FL0054,Data Engineering,"Spark, BigQuery, ETL",13,senior,North America,Canada,Master,147.19,"$158,180.58",LinkedIn
FL0055,Web Development,"Angular, JavaScript, Node.js",7.8,senior,Latin America,Brazil,Self-taught,50.77,"$54,682.35",Upwork
FL0056,AI/ML Engineering,"Computer Vision, Data Science, PyTorch",4.4,mid,Western Europe,UK,Bachelor,158.67,"$159,780.90",Toptal
FL0057,Full Stack,"React, PostgreSQL, REST API",2.5,mid,Middle East,Israel,Master,89.42,"$77,436.19",Direct Client
FL0058,AI/ML Engineering,"Python, Data Science, Computer Vision",5.4,senior,Eastern Europe,Romania,Master,104.15,"$97,771.58",LinkedIn
FL0059,Full Stack,"PostgreSQL, React, Node.js",5.9,senior,Middle East,UAE,Bootcamp,114.74,"$104,537.47",Fiverr
FL0060,Web Development,"React, Angular, HTML/CSS",11.5,senior,Western Europe,France,Self-taught,134.29,"$134,129.18",Fiverr
FL0061,Data Engineering,"Data Warehousing, Spark, ETL",2.9,mid,Eastern Europe,Ukraine,Bachelor,62.65,"$56,560.66",Fiverr
FL0062,DevOps,"Azure, Docker, AWS",13.5,senior,Asia Pacific,China,Self-taught,68.38,"$72,004.74",LinkedIn
FL0063,Full Stack,"GraphQL, React, Node.js",3.2,mid,Middle East,Israel,Bachelor,96.33,"$77,497.02",Fiverr
FL0064,Web Development,"Vue.js, JavaScript, React",7.9,senior,Asia Pacific,Philippines,Master,34.26,"$27,891.13",LinkedIn
FL0065,Full Stack,"GraphQL, REST API, Node.js",2.8,mid,Africa,South Africa,Master,40.92,"$40,544.58",Freelancer
FL0066,Cybersecurity,"Cryptography, Penetration Testing, Security Audit",2.3,mid,Western Europe,UK,Bachelor,144.26,"$123,235.91",Freelancer
FL0067,Full Stack,"GraphQL, PostgreSQL, MongoDB",2.2,mid,Western Europe,Switzerland,Bachelor,145.47,"$121,298.82",Direct Client
FL0068,Data Engineering,"BigQuery, ETL, Spark",4,mid,North America,US,Master,131.34,"$136,235.58",Direct Client
FL0069,Web Development,"HTML/CSS, JavaScript, React",4.9,mid,Africa,Nigeria,Bachelor,30.3,"$27,780.26",Direct Client
FL0070,Full Stack,"PostgreSQL, React, Node.js",4.8,mid,Middle East,UAE,Bachelor,83.77,"$82,961.58",LinkedIn
FL0071,Backend Development,"Ruby, Go, Python",4.7,mid,Latin America,Colombia,Master,44.29,"$44,568.46",Direct Client
FL0072,Blockchain,"Ethereum, Solidity, DeFi",7.8,senior,Middle East,UAE,Bachelor,154.23,"$141,653.86",Freelancer
FL0073,Blockchain,"Smart Contracts, Solidity, Ethereum",4.4,mid,Middle East,UAE,Master,121.67,"$111,183.25",Upwork
FL0074,Mobile Development,"Kotlin, Swift, React Native",3.2,mid,Africa,South Africa,Bachelor,40.03,"$39,311.50",Toptal
FL0075,Blockchain,"Ethereum, Smart Contracts, Solidity",9.2,senior,Middle East,Israel,Self-taught,163.86,"$152,415.49",Upwork
FL0076,Blockchain,"Ethereum, Web3, Solidity",4.8,mid,Western Europe,Germany,Master,137.01,"$140,068.54",LinkedIn
FL0077,Data Engineering,"Spark, ETL, Data Warehousing",7.5,senior,Eastern Europe,Ukraine,PhD,83.05,"$79,089.14",Direct Client
FL0078,Data Engineering,"BigQuery, Python, ETL",2.8,mid,Latin America,Brazil,Master,52.28,"$42,769.74",Direct Client
FL0079,Mobile Development,"Kotlin, Flutter, React Native",7,senior,Middle East,Israel,Master,112.27,"$98,486.42",Upwork
FL0080,Cybersecurity,"Penetration Testing, Network Security, Security Audit",6.3,senior,Latin America,Brazil,Bachelor,90.18,"$74,824.01",Freelancer
FL0081,DevOps,"Docker, AWS, Terraform",2.9,mid,Africa,South Africa,Self-taught,51.26,"$43,551.72",Direct Client
FL0082,UI/UX Design,"Figma, User Research, Sketch",3.9,mid,Middle East,Israel,Bachelor,70.41,"$66,855.82",Direct Client
FL0083,Backend Development,"Ruby, C#, PHP",6.2,senior,Africa,South Africa,Master,60.78,"$65,368.46",Freelancer
FL0084,Data Engineering,"Data Warehousing, ETL, Python",11.8,senior,Eastern Europe,Ukraine,Master,94.48,"$93,971.27",Toptal
FL0085,Cybersecurity,"Network Security, Cryptography, Security Audit",3.7,mid,Western Europe,Switzerland,Self-taught,151.13,"$148,269.00",Upwork
FL0086,Web Development,"Node.js, JavaScript, Vue.js",12.4,senior,Eastern Europe,Poland,Bachelor,77.81,"$69,340.02",Other
FL0087,DevOps,"AWS, Terraform, Kubernetes",0.7,junior,Eastern Europe,Poland,Self-taught,33.81,"$28,225.74",Direct Client
FL0088,DevOps,"AWS, CI/CD, Azure",4.1,mid,Eastern Europe,Ukraine,Bootcamp,57.9,"$53,722.40",Freelancer
FL0089,AI/ML Engineering,"Computer Vision, PyTorch, Data Science",8.1,senior,Eastern Europe,Romania,PhD,129.47,"$118,184.87",Direct Client
FL0090,AI/ML Engineering,"PyTorch, NLP, Data Science",3.6,mid,Asia Pacific,Philippines,Bachelor,50.26,"$53,654.15",Toptal
FL0091,Cybersecurity,"Network Security, Penetration Testing, Cryptography",2.9,mid,Middle East,Israel,Bachelor,113.06,"$98,995.08",Freelancer
FL0092,Mobile Development,"React Native, Kotlin, Swift",9.7,senior,Africa,South Africa,Master,60.35,"$54,894.75",Direct Client
FL0093,UI/UX Design,"Figma, Adobe XD, Prototyping",10.6,senior,Middle East,Israel,Master,104.22,"$89,341.73",Direct Client
FL0094,UI/UX Design,"Prototyping, Figma, User Research",3.1,mid,Eastern Europe,Romania,Self-taught,47.91,"$46,935.56",Direct Client
FL0095,UI/UX Design,"Figma, Wireframing, Adobe XD",8,senior,Asia Pacific,India,Self-taught,35.66,"$30,393.93",Direct Client
FL0096,Cybersecurity,"Network Security, Penetration Testing, Cryptography",5.6,senior,Eastern Europe,Poland,Bachelor,104.67,"$92,019.65",Upwork
FL0097,Web Development,"Node.js, Vue.js, HTML/CSS",7.7,senior,North America,US,Self-taught,151.11,"$135,034.92",Freelancer
FL0098,Backend Development,"Java, C#, Python",6.8,senior,Africa,Nigeria,Self-taught,42.17,"$36,033.72",Freelancer
FL0099,AI/ML Engineering,"NLP, TensorFlow, Computer Vision",4.4,mid,Western Europe,UK,PhD,150.44,"$131,892.43",Upwork
FL0100,Blockchain,"Web3, Solidity, Ethereum",4.4,mid,Middle East,Israel,Bachelor,142.83,"$130,455.59",Direct Client
FL0101,Cybersecurity,"Cryptography, Network Security, Security Audit",9,senior,Western Europe,Germany,Bachelor,179.85,"$178,810.00",Other
FL0102,Mobile Development,"Flutter, Swift, React Native",8.1,senior,Latin America,Colombia,Bootcamp,62.8,"$59,135.95",Freelancer
FL0103,DevOps,"Azure, CI/CD, Docker",5.8,senior,Western Europe,France,Master,178.27,"$152,082.87",Upwork
FL0104,Backend Development,"Java, C#, Go",3.5,mid,Middle East,Israel,Master,83.05,"$80,138.43",Upwork
FL0105,AI/ML Engineering,"Python, PyTorch, Computer Vision",9.3,senior,Africa,South Africa,Bachelor,92.89,"$80,812.78",LinkedIn
FL0106,Full Stack,"MongoDB, GraphQL, PostgreSQL",10.3,senior,Latin America,Mexico,Bachelor,59.33,"$62,148.83",Upwork
FL0107,Cybersecurity,"Cryptography, Network Security, Security Audit",9,senior,Western Europe,Germany,Bachelor,218.41,"$202,540.80",Fiverr
FL0108,DevOps,"Kubernetes, Docker, CI/CD",3.6,mid,Asia Pacific,China,Self-taught,42.23,"$40,779.35",Toptal
FL0109,Blockchain,"Smart Contracts, Ethereum, Web3",1.7,junior,Asia Pacific,Australia,Bachelor,105.6,"$94,684.86",Direct Client
FL0110,Data Engineering,"ETL, BigQuery, SQL",3.3,mid,Africa,Nigeria,PhD,41.67,"$36,814.53",Direct Client
FL0111,AI/ML Engineering,"Computer Vision, PyTorch, NLP",14,senior,Middle East,UAE,Bachelor,185.45,"$166,624.56",Direct Client
FL0112,Data Engineering,"Data Warehousing, Spark, Python",9,senior,Asia Pacific,Philippines,PhD,59.72,"$54,617.01",Direct Client
FL0113,AI/ML Engineering,"Data Science, Computer Vision, PyTorch",8.7,senior,Middle East,UAE,Master,169.4,"$158,214.97",Direct Client
FL0114,Backend Development,"Go, Python, C#",6.5,senior,Asia Pacific,China,Master,48.5,"$45,535.68",Direct Client
FL0115,AI/ML Engineering,"NLP, Data Science, TensorFlow",3.3,mid,Asia Pacific,Philippines,Master,46.23,"$42,849.20",Fiverr
FL0116,Mobile Development,"Kotlin, React Native, Android",6.2,senior,North America,US,Bootcamp,202.53,"$199,894.16",Direct Client
FL0117,Data Engineering,"BigQuery, ETL, SQL",8.3,senior,Latin America,Argentina,PhD,87.55,"$93,088.08",Direct Client
FL0118,UI/UX Design,"Sketch, Wireframing, Prototyping",7.9,senior,Western Europe,France,Master,125.9,"$124,066.49",Freelancer
FL0119,Web Development,"Angular, Node.js, React",11.6,senior,Eastern Europe,Romania,Bachelor,71.48,"$64,395.34",Toptal
FL0120,Full Stack,"PostgreSQL, GraphQL, Node.js",7.7,senior,Asia Pacific,Australia,Bootcamp,174.41,"$140,385.59",Direct Client
FL0121,Blockchain,"Web3, Ethereum, Smart Contracts",3.8,mid,Middle East,UAE,Bachelor,119.55,"$119,184.47",Upwork
FL0122,UI/UX Design,"Figma, Wireframing, Sketch",4.5,mid,Eastern Europe,Romania,Bachelor,44.03,"$42,441.84",LinkedIn
FL0123,DevOps,"Docker, Kubernetes, CI/CD",3.2,mid,Western Europe,UK,Bachelor,93.75,"$75,628.66",Upwork
FL0124,Cybersecurity,"Penetration Testing, Cryptography, Security Audit",4.3,mid,Middle East,Israel,Master,103.96,"$90,733.09",Upwork
FL0125,Data Engineering,"Python, SQL, Spark",4.9,mid,North America,US,Bachelor,121.94,"$112,237.52",Direct Client
FL0126,UI/UX Design,"Figma, Adobe XD, Prototyping",2.4,mid,Latin America,Brazil,Bootcamp,36.04,"$31,440.73",Upwork
FL0127,Data Engineering,"SQL, Python, ETL",10.3,senior,North America,US,Master,214.45,"$211,400.85",Upwork
FL0128,Full Stack,"PostgreSQL, REST API, Node.js",4.2,mid,North America,Canada,Master,96.78,"$89,137.55",Toptal
FL0129,Full Stack,"REST API, GraphQL, Node.js",6.4,senior,Eastern Europe,Ukraine,Bachelor,78.33,"$68,594.73",Direct Client
FL0130,Blockchain,"Smart Contracts, Solidity, Ethereum",7.2,senior,Eastern Europe,Romania,Self-taught,102.44,"$91,057.87",Direct Client
FL0131,Mobile Development,"Flutter, Kotlin, React Native",7.7,senior,Western Europe,Switzerland,Bachelor,234.55,"$236,454.27",Upwork
FL0132,Web Development,"Vue.js, React, Angular",6.9,senior,Western Europe,France,Self-taught,132.28,"$117,698.86",Toptal
FL0133,UI/UX Design,"Adobe XD, Prototyping, Figma",1.3,junior,Eastern Europe,Poland,Self-taught,27.93,"$28,907.22",Direct Client
FL0134,UI/UX Design,"Sketch, Wireframing, Prototyping",6.3,senior,Eastern Europe,Romania,Bachelor,69.81,"$60,504.90",Direct Client
FL0135,DevOps,"Azure, Kubernetes, CI/CD",12.4,senior,Africa,South Africa,Self-taught,62.2,"$61,748.52",Toptal
FL0136,Blockchain,"DeFi, Ethereum, Smart Contracts",2.9,mid,Middle East,UAE,Bachelor,99.83,"$89,945.72",Upwork
FL0137,Blockchain,"Solidity, Smart Contracts, Web3",3.2,mid,Latin America,Argentina,Bachelor,74.95,"$60,968.96",Toptal
FL0138,UI/UX Design,"Adobe XD, Prototyping, Wireframing",6.8,senior,Eastern Europe,Ukraine,Master,64.56,"$56,312.46",Upwork
FL0139,Web Development,"Node.js, React, HTML/CSS",6.3,senior,Eastern Europe,Romania,Master,71.57,"$68,780.79",Upwork
FL0140,DevOps,"Terraform, Azure, AWS",8.9,senior,Eastern Europe,Ukraine,Bootcamp,94.03,"$85,306.67",Direct Client
FL0141,Cybersecurity,"Cryptography, Penetration Testing, Security Audit",10.6,senior,Asia Pacific,Australia,Self-taught,230.4,"$199,891.21",Freelancer
FL0142,Web Development,"React, Angular, Node.js",3.9,mid,Eastern Europe,Romania,Bachelor,41.08,"$43,828.52",Direct Client
FL0143,Full Stack,"REST API, GraphQL, React",5.9,senior,Western Europe,UK,Master,180.43,"$166,147.71",Upwork
FL0144,UI/UX Design,"Sketch, Wireframing, User Research",5.6,senior,Middle East,Israel,Self-taught,94.16,"$86,763.28",Fiverr
FL0145,Backend Development,"Java, Go, Python",5.5,senior,Western Europe,Switzerland,Bootcamp,196.2,"$197,000.64",LinkedIn
FL0146,AI/ML Engineering,"Computer Vision, Python, TensorFlow",4.2,mid,Asia Pacific,Australia,Master,185.38,"$177,275.42",Toptal
FL0147,Web Development,"Angular, JavaScript, Node.js",9.7,senior,Latin America,Colombia,Master,51.21,"$42,900.62",Upwork
FL0148,Data Engineering,"Python, BigQuery, ETL",7.8,senior,North America,US,PhD,194.34,"$171,937.48",Upwork
FL0149,DevOps,"CI/CD, Terraform, Azure",3.4,mid,Middle East,Israel,Bachelor,100.22,"$100,805.46",Upwork
FL0150,Data Engineering,"BigQuery, ETL, Spark",1.9,junior,North America,US,Master,72.16,"$69,586.56",Toptal
FL0151,Cybersecurity,"Security Audit, Cryptography, Network Security",4.1,mid,Western Europe,Switzerland,Bachelor,160.46,"$148,209.73",Toptal
FL0152,Full Stack,"REST API, MongoDB, GraphQL",3.9,mid,Eastern Europe,Ukraine,Bachelor,48.88,"$51,457.55",Direct Client
FL0153,Cybersecurity,"Network Security, Security Audit, Penetration Testing",1.6,junior,Latin America,Colombia,Master,34.56,"$27,632.50",Freelancer
FL0154,AI/ML Engineering,"Python, NLP, PyTorch",2.8,mid,Western Europe,France,Bachelor,119.68,"$120,163.54",Freelancer
FL0155,Backend Development,"Ruby, C#, Python",3.4,mid,Latin America,Brazil,Master,47.13,"$46,398.50",Upwork
FL0156,Full Stack,"REST API, React, Node.js",5,mid,Asia Pacific,Australia,Self-taught,116.88,"$94,330.39",Other
FL0157,Web Development,"React, JavaScript, Vue.js",12.7,senior,Middle East,UAE,Self-taught,110.07,"$99,564.72",Freelancer
FL0158,DevOps,"Kubernetes, Terraform, AWS",3.9,mid,Latin America,Argentina,Master,61.18,"$52,711.84",Upwork
FL0159,UI/UX Design,"Adobe XD, Wireframing, Sketch",5.1,senior,North America,US,Bachelor,133.36,"$134,532.39",Upwork
FL0160,Blockchain,"Ethereum, Web3, Solidity",8.8,senior,Africa,Nigeria,Self-taught,68.7,"$66,136.05",Upwork
FL0161,Blockchain,"DeFi, Web3, Smart Contracts",7.1,senior,North America,US,Self-taught,232.19,"$246,290.18",Other
FL0162,Cybersecurity,"Security Audit, Cryptography, Penetration Testing",5.2,senior,Asia Pacific,Philippines,Bootcamp,73.34,"$61,645.29",Direct Client
FL0163,DevOps,"Terraform, CI/CD, Docker",3.1,mid,Eastern Europe,Poland,Bachelor,63.88,"$64,083.07",Upwork
FL0164,UI/UX Design,"User Research, Prototyping, Adobe XD",5.9,senior,Latin America,Mexico,Self-taught,59.12,"$62,028.65",Freelancer
FL0165,AI/ML Engineering,"Computer Vision, Data Science, Python",9.9,senior,Latin America,Colombia,Master,91.02,"$77,470.57",Direct Client
FL0166,Web Development,"Angular, JavaScript, React",6.8,senior,Middle East,UAE,Self-taught,94.08,"$92,317.15",LinkedIn
FL0167,Data Engineering,"ETL, Data Warehousing, Python",5.7,senior,Middle East,Israel,Bachelor,155.61,"$131,118.54",Direct Client
FL0168,Cybersecurity,"Security Audit, Cryptography, Penetration Testing",4,mid,North America,Canada,Self-taught,125.63,"$121,909.25",Other
FL0169,Mobile Development,"Flutter, Swift, Kotlin",8.4,senior,Africa,Nigeria,Bachelor,52.6,"$50,635.51",Fiverr
FL0170,DevOps,"Kubernetes, CI/CD, Terraform",0.9,junior,Eastern Europe,Romania,Bachelor,33.79,"$33,996.52",LinkedIn
FL0171,Web Development,"React, HTML/CSS, JavaScript",8.9,senior,North America,Canada,Master,130.73,"$108,141.50",Toptal
FL0172,AI/ML Engineering,"Computer Vision, Data Science, PyTorch",6.6,senior,Eastern Europe,Poland,Master,139.81,"$145,323.72",Upwork
FL0173,Cybersecurity,"Cryptography, Penetration Testing, Security Audit",0.9,junior,Middle East,UAE,Bachelor,59.88,"$59,147.91",LinkedIn
FL0174,Data Engineering,"SQL, ETL, Data Warehousing",8.6,senior,Eastern Europe,Romania,Master,94.45,"$78,234.60",Upwork
FL0175,Blockchain,"Web3, Smart Contracts, DeFi",7,senior,Asia Pacific,Japan,Self-taught,162.85,"$167,723.28",Fiverr
FL0176,Full Stack,"Node.js, GraphQL, MongoDB",4.5,mid,Western Europe,Switzerland,Bachelor,163.34,"$146,692.42",Direct Client
FL0177,UI/UX Design,"Figma, User Research, Wireframing",11.9,senior,Africa,South Africa,Self-taught,49.17,"$41,669.68",Direct Client
FL0178,Data Engineering,"SQL, ETL, BigQuery",1.2,junior,Asia Pacific,China,Bachelor,25.2,"$20,257.53",Direct Client
FL0179,Blockchain,"Smart Contracts, Web3, Solidity",10.4,senior,Asia Pacific,India,Bachelor,54.37,"$52,428.90",Direct Client
FL0180,DevOps,"Kubernetes, CI/CD, AWS",12,senior,Eastern Europe,Ukraine,Bachelor,95.05,"$79,610.09",Direct Client
FL0181,Blockchain,"Ethereum, Solidity, DeFi",4.9,mid,North America,Canada,Bachelor,149.64,"$138,492.44",Direct Client
FL0182,Full Stack,"REST API, GraphQL, Node.js",10.3,senior,North America,US,Self-taught,163.12,"$149,602.69",Freelancer
FL0183,Backend Development,"Java, Go, C#",6.7,senior,North America,Canada,Self-taught,141.4,"$142,707.47",Direct Client
FL0184,Blockchain,"DeFi, Ethereum, Smart Contracts",6.4,senior,Africa,Nigeria,Master,63.28,"$62,742.82",Direct Client
FL0185,DevOps,"Azure, Docker, Terraform",9.3,senior,Middle East,UAE,Bachelor,132.33,"$127,609.83",Upwork
FL0186,Web Development,"JavaScript, React, Angular",6.3,senior,Africa,Nigeria,Master,37.4,"$31,747.62",LinkedIn
FL0187,Full Stack,"Node.js, REST API, React",9.1,senior,Latin America,Colombia,Bachelor,73.67,"$74,219.29",Upwork
FL0188,Full Stack,"GraphQL, PostgreSQL, Node.js",3.2,mid,Asia Pacific,Philippines,Bachelor,39.37,"$32,715.02",Direct Client
FL0189,Data Engineering,"ETL, Spark, Data Warehousing",9.8,senior,Western Europe,UK,Bachelor,177.79,"$162,447.56",Freelancer
FL0190,Web Development,"HTML/CSS, Angular, React",5.8,senior,Eastern Europe,Poland,Bachelor,67.9,"$55,803.18",Freelancer
FL0191,Blockchain,"Web3, DeFi, Smart Contracts",10,senior,Western Europe,Switzerland,Bootcamp,273.13,"$227,993.07",Upwork
FL0192,Blockchain,"DeFi, Web3, Smart Contracts",4.5,mid,Middle East,Israel,Master,137.04,"$122,195.09",Freelancer
FL0193,Backend Development,"Python, Ruby, C#",7.4,senior,Latin America,Argentina,Bachelor,75.49,"$66,391.49",Direct Client
FL0194,AI/ML Engineering,"TensorFlow, Python, Data Science",12.4,senior,Latin America,Argentina,Bachelor,105.77,"$102,110.66",Direct Client
FL0195,Cybersecurity,"Penetration Testing, Security Audit, Network Security",10,senior,Middle East,UAE,Master,128.16,"$131,837.23",Direct Client
FL0196,DevOps,"Terraform, CI/CD, Azure",8.4,senior,Eastern Europe,Ukraine,Self-taught,85.89,"$74,875.05",Direct Client
FL0197,AI/ML Engineering,"TensorFlow, Computer Vision, NLP",1.8,junior,Eastern Europe,Poland,Bachelor,46.65,"$46,011.25",Upwork
FL0198,AI/ML Engineering,"PyTorch, NLP, Data Science",4.4,mid,North America,US,PhD,130.32,"$137,175.25",Toptal
FL0199,Cybersecurity,"Security Audit, Penetration Testing, Cryptography",4.4,mid,Africa,South Africa,Bachelor,42.98,"$42,139.64",Upwork
FL0200,Full Stack,"Node.js, REST API, MongoDB",2.5,mid,Western Europe,Switzerland,Self-taught,144.1,"$142,843.95",Direct Client
FL0201,DevOps,"Terraform, CI/CD, AWS",6.7,senior,Eastern Europe,Poland,Master,107.9,"$86,811.08",LinkedIn
FL0202,Web Development,"Angular, JavaScript, HTML/CSS",3.5,mid,Middle East,UAE,Master,78.24,"$68,727.28",Upwork
FL0203,Web Development,"Node.js, React, JavaScript",12.6,senior,Middle East,UAE,Self-taught,110.92,"$111,716.34",Upwork
FL0204,Backend Development,"Ruby, Go, Python",7,senior,Western Europe,France,Master,126.58,"$122,828.41",Direct Client
